id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1361536130253004800	1361536130253004800	2021-02-16 10:11:24 Sri Lanka Standard Time	2021-02-16	10:11:24	+0530	1336813408025456644	emlohamora	em ☆ the auction era w dani!!		wow the way uno made me so tired ANYWAYS GN BESTIES ILL PROBABLY STILL STICK AROUND A BIT BUT I LOVE YOU SLEEP TIGHT except for fish girl ari she can just keep swimming all night for all i care MWAH &lt;33	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/emlohamora/status/1361536130253004800	False		0								[]				
1361536130126999555	1361240490230697985	2021-02-16 10:11:24 Sri Lanka Standard Time	2021-02-16	10:11:24	+0530	1270708199734288386	ayush08686930	Farmer Ayush 🚜🌲💲🚗🚗		@Agrimonious People are tired of your ranting.... that's another perspective.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Ayush08686930/status/1361536130126999555	False		0								[{'screen_name': 'Agrimonious', 'name': 'Agrima Joshua 🇮🇳', 'id': '382254185'}]				
1361536129317617665	1361534985648373761	2021-02-16 10:11:24 Sri Lanka Standard Time	2021-02-16	10:11:24	+0530	767444254444486657	jaedenplays1	Jaeden		@Bin_AC3 @shogi_piece No I’m too tired	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Jaedenplays1/status/1361536129317617665	False		0								[{'screen_name': 'Bin_AC3', 'name': 'Bin 🥥🍀', 'id': '1124727933879377923'}, {'screen_name': 'shogi_piece', 'name': 'shogi🔛🧱', 'id': '1062214050413654016'}]				
1361536129099513856	1361531220807532544	2021-02-16 10:11:23 Sri Lanka Standard Time	2021-02-16	10:11:23	+0530	1234862261187072004	hobohours	𝙞𝙗𝙞		@aliaaakapoor i report them under spam everytime i come across them like girl doesn’t get tired making them😭	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/hobohours/status/1361536129099513856	False		0								[{'screen_name': 'aliaaakapoor', 'name': 'kiara', 'id': '1157653082257293313'}]				
1361536124875722754	1361536124875722754	2021-02-16 10:11:22 Sri Lanka Standard Time	2021-02-16	10:11:22	+0530	1205138965788938240	h1ghagain	We are Fuct		Me  tired of political trends sees Mario cart trending cool what’s Mario been up to   Fml	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/H1GHAGAIN/status/1361536124875722754	False	https://twitter.com/ign/status/1361352335256145925	0								[]				
1361536123508523010	1361536123508523010	2021-02-16 10:11:22 Sri Lanka Standard Time	2021-02-16	10:11:22	+0530	1354902270568255488	louiseatsmeout	ross 🫂		Im tired  https://t.co/QvyPum5AMC	en	[]	[]	['https://pbs.twimg.com/media/EuUl43xWgAEZMJP.png']	0	0	0	[]	[]	https://twitter.com/louiseatsmeout/status/1361536123508523010	False		1	https://pbs.twimg.com/media/EuUl43xWgAEZMJP.png							[]				
1361536122732621825	1361536122732621825	2021-02-16 10:11:22 Sri Lanka Standard Time	2021-02-16	10:11:22	+0530	1181959595083862018	piphyp	Epiphany		"""...But I got tired of working that hard to make white people comfortable..."""	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/piphyp/status/1361536122732621825	False		0								[]				
1361536117309206530	1361536117309206530	2021-02-16 10:11:21 Sri Lanka Standard Time	2021-02-16	10:11:21	+0530	954974281007427584	6ermny	German		I’m tired of being there for people who don’t even give a shit like next time you need something go ask someone else.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/6ERMNY/status/1361536117309206530	False		0								[]				
1361536116780765187	1361131728815890434	2021-02-16 10:11:21 Sri Lanka Standard Time	2021-02-16	10:11:21	+0530	878313100591505408	dolcebella43	Natasha		@princessv95031 @Kevin_Faulconer Forever and not to work. He continues on with his draconian orders while he goes happily along living in his mansion and still getting a fat pay check. I voted him too, but I didn’t vote for this. Enough is enough of all his rules that he can’t even follow. Are you you tired	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/dolcebella43/status/1361536116780765187	False		0								[{'screen_name': 'princessv95031', 'name': '💙#washyourhands', 'id': '30309132'}, {'screen_name': 'Kevin_Faulconer', 'name': 'Kevin Faulconer', 'id': '48534208'}]				
1361536116088836096	1361527532105961473	2021-02-16 10:11:20 Sri Lanka Standard Time	2021-02-16	10:11:20	+0530	21258970	kellyvhalen	Kelly 🌋		anyway, I’m sort of cranky, but I’m tired of people knocking others and making terrible assumptions about them because they make food you don’t like and seems foreign to you. Don’t give me that petit bourgeoisie nonsense.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/kellyvhalen/status/1361536116088836096	False		0								[]				
